1A5
421
8
Time,Channel A,Channel B
(ms),(V),(V)
0.06454597,3.60405400,1.52620600
0.06454797,3.60420800,1.52620600
0.06454997,3.60405400,1.52620600
0.06455197,3.60420800,1.52620600
0.06455397,3.60436200,1.52605200
0.06455597,3.60466900,1.52605200
0.06455797,3.60466900,1.52589800
0.06455997,3.60466900,1.52559100
0.06456197,3.60482300,1.52559100
0.06456397,3.60482300,1.52589800
0.06456597,3.60513000,1.52559100
0.06456797,3.60513000,1.52559100
0.06456997,3.60528400,1.52559100
0.06457197,3.60528400,1.52543700
0.06457397,3.60513000,1.52543700
0.06457597,3.60513000,1.52543700
0.06457797,3.60513000,1.52543700
0.06457997,3.60513000,1.52543700
0.06458197,3.60528400,1.52559100
0.06458397,3.60528400,1.52589800
0.06458597,3.60528400,1.52589800
0.06458797,3.60528400,1.52559100
0.06458997,3.60543800,1.52543700
0.06459197,3.60528400,1.52559100
0.06459397,3.60543800,1.52559100
0.06459597,3.60528400,1.52559100
0.06459797,3.60528400,1.52589800
0.06459997,3.60528400,1.52589800
0.06460197,3.60528400,1.52589800
0.06460397,3.60543800,1.52605200
0.06460597,3.60543800,1.52605200
0.06460797,3.60574600,1.52620600
0.06460997,3.60589900,1.52620600
0.06461197,3.60589900,1.52620600
0.06461397,3.60605300,1.52620600
0.06461597,3.60605300,1.52620600
0.06461797,3.60589900,1.52651300
0.06461997,3.60605300,1.52651300
0.06462197,3.60605300,1.52666700
0.06462397,3.60605300,1.52666700
0.06462597,3.60636100,1.52666700
0.06462797,3.60636100,1.52666700
0.06462997,3.60651400,1.52666700
0.06463197,3.60636100,1.52666700
0.06463397,3.60636100,1.52666700
0.06463597,3.60636100,1.52666700
0.06463797,3.60636100,1.52682100
0.06463997,3.60605300,1.52682100
0.06464197,3.60605300,1.52682100
0.06464397,3.60605300,1.52712800
0.06464597,3.60636100,1.52712800
0.06464797,3.60636100,1.52712800
0.06464997,3.60636100,1.52712800
0.06465197,3.60636100,1.52712800
0.06465397,3.60651400,1.52712800
0.06465597,3.60636100,1.52712800
0.06465797,3.60651400,1.52712800
0.06465997,3.60666800,1.52682100
0.06466197,3.60697600,1.52682100
0.06466397,3.60697600,1.52682100
0.06466597,3.60713000,1.52682100
0.06466797,3.60713000,1.52712800
0.06466997,3.60713000,1.52712800
0.06467197,3.60697600,1.52728200
0.06467397,3.60713000,1.52728200
0.06467597,3.60728300,1.52743600
0.06467797,3.60759100,1.52743600
